ID,Name,Email,Age,JoinDate,Salary,Department,Remarks
1,Andrew Anthony,keith70@hotmail.com,21.0,2024-07-26,47603.16,Sales,Average
2,Ashley Hudson,kelly10@reed.com,26.0,2025-01-27,76963.2,HR,Poor
3,Kristin Ross,johnsonisaiah@hotmail.com,20.0,2021-03-19,102398.18,Finance,
4,Kelli Cook,ydavis@yahoo.com,33.0,2022-03-15,81912.56,,Good
5,Heather King,xtaylor@hotmail.com,59.0,2024-01-12,72918.09,,
6,Daniel Edwards,madelinelee@hotmail.com,36.0,2024-08-14,89537.45,Sales,Average
7,William Ramsey,ghawkins@barry.info,48.0,2023-05-08,74599.9,Engineering,Poor
8,Diamond Torres,michael20@gmail.com,27.0,2023-06-25,65272.34,,Average
9,Crystal Jones,dawnmckenzie@hotmail.com,28.0,2024-10-16,64984.33,Engineering,
10,Deborah Gonzalez,rrodgers@yahoo.com,28.0,2022-11-09,106048.21,Finance,Poor
11,Amanda Oconnor,staceywebb@hotmail.com,30.0,2021-06-20,82216.12,Engineering,
12,Nathan Weaver,rodriguezelizabeth@hotmail.com,23.0,2023-05-03,59686.2,HR,
13,Victoria Ross,smithjose@thomas.org,50.0,2022-09-06,70519.2,,
14,James Shaffer,fishertodd@hotmail.com,51.0,2020-07-17,99629.74,Finance,Good
15,Tracy Guzman,emilygreen@schaefer.com,60.0,2020-11-30,105576.66,Sales,
16,Daniel Davis,katherine76@clark.com,49.0,2021-04-13,56551.98,Engineering,Good
17,,amysmith@hotmail.com,26.0,2023-03-19,83221.8,,Average
18,Kelly Cox,davidwiggins@yahoo.com,,2023-11-26,37859.03,Finance,Average
19,Justin Small,alawrence@yahoo.com,57.0,2023-05-27,88988.16,Sales,
20,Henry Boyd,hbuckley@leon-smith.info,26.0,2024-06-27,39759.28,Sales,Poor
21,Marilyn Smith,carterkenneth@yahoo.com,57.0,2024-10-15,84314.68,Sales,
22,Mary Mcpherson,qking@johnson.org,36.0,2023-12-07,95297.29,Sales,Average
23,Alison Hill,hebertmatthew@gmail.com,68.0,2024-08-12,116413.71,Sales,Average
24,Nicole Shepard,ykoch@branch.org,23.0,2021-08-01,117332.71,HR,
25,Susan Mitchell,jenniferbarker@cuevas.net,33.0,2022-02-06,98234.14,Engineering,
26,Joseph Butler,joshua38@gmail.com,63.0,2025-01-30,45645.1,Sales,Average
27,Mark Mcknight,smithrobert@hotmail.com,34.0,2022-11-11,56628.59,Finance,
28,Kayla Bradford,yeseniaburgess@yahoo.com,67.0,2022-07-18,61006.84,HR,
29,Julia Moody,vgray@hotmail.com,40.0,2021-09-09,34170.9,,
30,Beth Williams,amber79@weber.com,20.0,2022-05-03,97088.16,Sales,Average
31,Logan Ramirez,apotter@shelton.biz,36.0,2024-02-29,52029.47,Finance,Average
32,Justin Jackson MD,joshuamueller@hotmail.com,36.0,2022-11-30,105625.8,Sales,
33,Cheryl Farley,karen38@pena-hayes.com,67.0,2024-09-03,45458.17,Engineering,
34,Daniel Porter,gsmith@gmail.com,27.0,2024-07-25,31120.85,Sales,
35,Christopher Johnson,monica96@hotmail.com,24.0,2025-01-05,96154.77,,Poor
36,Justin Porter,chandlerchristopher@yahoo.com,33.0,2021-01-02,68491.06,Engineering,Poor
37,Randy Martinez,santostaylor@miller.com,64.0,2023-02-12,40466.28,Engineering,Average
38,Robin Snyder,teresa13@sanchez.com,44.0,2023-07-02,52417.34,Sales,
39,John Cunningham,harrisondavid@yahoo.com,57.0,2021-08-18,108821.25,Sales,
40,Donna Cooley,carlybarnes@nolan.com,36.0,2025-01-13,66500.97,Sales,
41,Melissa Nielsen,robertarellano@bailey.com,38.0,2025-02-03,118761.89,Finance,Good
42,Yolanda Gomez,kimberlysanchez@garcia.com,69.0,2025-03-31,56287.24,Sales,
43,Erik Ferguson,johnhart@hotmail.com,33.0,2021-03-06,97446.3,,Poor
44,Amy Kim,xhancock@hotmail.com,29.0,2022-03-21,117538.41,Engineering,
45,Robert Atkins Jr.,sergio27@gmail.com,21.0,2024-07-08,57950.38,Finance,Average
46,Douglas Webb,nathanyoung@yahoo.com,22.0,2024-11-17,82845.45,Sales,Good
47,Shelia Stein,unknown,30.0,2023-08-08,87451.88,Engineering,Good
48,Marc Cooper,abowman@franklin.com,51.0,2021-09-20,89042.51,Sales,Good
49,Steven Lee,nwilson@yahoo.com,25.0,2020-08-29,90879.98,Sales,Average
